DeveloperName__c,Id,Name,NovaId__c,OW_group_company__c,OW_own_company__c,PartnerCompany__c,ProtectionPartner__c,ReferenceName__c
HALIFAX_FINANCIAL_SERVICES,a26Qz000000MlPjIAK,Halifax Financial Services,a264J000001QEWsQAO,false,false,false,false,
HARGREAVES_LANSDOWN,a26Qz000000MlPkIAK,Hargreaves Lansdown,a264J000001QEWtQAO,false,false,false,false,
HARRODS,a26Qz000000MlPlIAK,Harrods,a264J000001QEWuQAO,false,false,false,false,
HBOS_WILLIS_TOWERS_WATSON,a26Qz000000MlPmIAK,HBOS (Willis Towers Watson),a264J000001QEWvQAO,false,false,false,false,
HEWLETT_PACKARD,a26Qz000000MlPnIAK,Hewlett Packard,a264J000001QEWwQAO,false,false,false,false,
HOME_RETAIL_GROUP_JLT_BENEFIT_SOLUTIONS,a26Qz000000MlPoIAK,Home Retail Group (JLT Benefit Solutions),a264J000001QEWxQAO,false,false,false,false,
HSBC,a26Qz000000MlPpIAK,HSBC,a264J000001QEWyQAO,false,false,false,false,
HSBC_EMPLOYEE_SCHEME_WILLIS_TOWERS_WATSON,a26Qz000000MlPqIAK,HSBC Employee Scheme (Willis Towers Watson),a264J000001QEWzQAO,false,false,false,false,
HSBC_INVESTMENTS,a26Qz000000MlPrIAK,HSBC Investments,a264J000001QEX0QAO,false,false,false,false,
HUME_GLOBAL_INVESTORS_PCC_LIMITED,a26Qz000000MlPsIAK,Hume global Investors PCC Limited,a264J000001QEX1QAO,false,false,false,false,
INTERACTIVE_BROKERS,a26Qz000000MlPtIAK,Interactive Brokers,a264J000001QEX2QAO,false,false,false,false,
INTERACTIVE_INVESTOR,a26Qz000000MlPuIAK,Interactive Investor,a264J000001QEX3QAO,false,false,false,false,
INVESCO_PERPETUAL,a26Qz000000MlPvIAK,Invesco Perpetual,a264J000001QEX4QAO,false,false,false,false,
JP_MORGAN_ASSET_MANAGEMENT_DST,a26Qz000000MlPwIAK,J.P. Morgan Asset Management (DST),a264J000001QEX5QAO,false,false,false,false,
JAMES_HAY,a26Qz000000MlPxIAK,James Hay,a264J000001QEX6QAO,false,false,false,false,
JANUS_HENDERSON_INVESTORS,a26Qz000000MlPyIAK,Janus Henderson Investors,a264J000001QEX7QAO,false,false,false,false,
JOHN_LAING,a26Qz000000MlPzIAK,John Laing,a264J000001QEX8QAO,false,false,false,false,
JOHN_LEWIS_PARTNERSHIP,a26Qz000000MlQ0IAK,John Lewis Partnership,a264J000001QEX9QAO,false,false,false,false,
JP_MORGAN,a26Qz000000MlQ1IAK,JP Morgan,a264J000001QEXAQA4,false,false,false,false,
JUPITER_INVESTMENTS,a26Qz000000MlQ2IAK,Jupiter Investments,a264J000001QEXBQA4,false,false,false,false,
