AdditionalAmlRequirement__c,AdditionalBankDetails__c,DestinationProductRecordType__c,DestinationProductType__c,ExcludeFromUpdate__c,ExpressionOfWishFormRequirement__c,FormsRequired__c,Id,Name,Product__c,Product__r.ReferenceName__c,RecommendationType__c,RecommendationType__r.ReferenceName__c,RecommendationTypeReference__c,ReferenceName__c,TransferFormsRequirement__c,UpdateEmailHeadline__c
,Not required,0121t0000001eSFAAY,0121t0000001eSFAAY,true,Not required,false,a2hQz000000UAt6IAG,Update EoW GPP,,,a24Qz0000052dx6IAA,UPDATE_EOW,,UPDATE_EOW_GPP,Not required,Update the beneficiaries for your {destinationprovider} Group Personal pension
,Not required,0121t0000001eRhAAI,0121t0000001eRhAAI,true,Not required,false,a2hQz000000UAt7IAG,Cancel regular personal pension,a2YQz000000sEScMAM,SIPP_HUBWISE,a24Qz0000052dwwIAA,CANCEL_EXISTING_REGULAR,,CANCEL_REGULAR_PP,Not required,Cancellation of your regular
,Not required,0121t0000001eSFAAY,0121t0000001eSFAAY,true,Not required,false,a2hQz000000UAt8IAG,Client action GPP,,,a24Qz0000052dx4IAA,CLIENT_ACTION,,CLIENT_ACTION_GPP,Not required,{nsaction} - {destinationprovider} GPP
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,true,Not required,false,a2hQz000000UAt9IAG,Open product Apollo VCT,a2YQz000000sESgMAM,VCT_APOLLO_OI,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_PRODUCT_VCT_APOLLO,Not required,
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,true,Not required,false,a2hQz000000UAtAIAW,Open product Titan VCT,a2YQz000000sEShMAM,VCT_TITAN_OI,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_PRODUCT_VCT_TITAN,Not required,
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,true,Not required,false,a2hQz000000UAtBIAW,Open product AIM VCT,a2YQz000000sESjMAM,AIM_OI_VCT,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_PRODUCT_VCT_AIM,Not required,
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,true,Not required,false,a2hQz000000UAtCIAW,Open product Future generations VCT,a2YQz000000sESkMAM,FG_OI_VCT,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_PRODUCT_VCT_FG,Not required,
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,false,Not required,false,a2hQz000000UAtDIAW,Lump sum Apollo VCT,a2YQz000000sESgMAM,VCT_APOLLO_OI,a24Qz0000052dwtIAA,LUMP_SUM,,LUMP_SUM_VCT_APOLLO,Not required,Lump sum to your new VCT
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,false,Not required,false,a2hQz000000UAtEIAW,Lump sum Titan VCT,a2YQz000000sEShMAM,VCT_TITAN_OI,a24Qz0000052dwtIAA,LUMP_SUM,,LUMP_SUM_VCT_TITAN,Not required,Lump sum to your new VCT
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,false,Not required,false,a2hQz000000UAtFIAW,Lump sum AIM VCT,a2YQz000000sESjMAM,AIM_OI_VCT,a24Qz0000052dwtIAA,LUMP_SUM,,LUMP_SUM_VCT_AIM,Not required,Lump sum to your new VCT
Not required,Not required,0121t0000001eO9AAI,0121t0000001eO9AAI,false,Not required,false,a2hQz000000UAtGIAW,Lump sum Future generations VCT,a2YQz000000sESkMAM,FG_OI_VCT,a24Qz0000052dwtIAA,LUMP_SUM,,LUMP_SUM_VCT_FG,Not required,Lump sum to your new VCT
Not required,Not required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,true,Not required,false,a2hQz000000UAtHIAW,Open LV Relevant Life Cover,a2YQz000000sESnMAM,LV_RELEVANT_LIFE,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_LV_RELEVANT_LIFE_COVER,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,true,Not required,false,a2hQz000000UAtIIAW,Open LV Family Income Benefit,a2YQz000000sESmMAM,LV_FIB,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_LV_FAMILY_INCOME_BENEFIT,Not required,
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,true,Not required,false,a2hQz000000UAtJIAW,Open LV Life Cover,a2YQz000000sESlMAM,LV_SINGLE_LIFE_COVER,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_LV_LIFE_COVER,Not required,
Not required,Not required,0121t0000001eUZAAY,0121t0000001eUZAAY,true,Not required,false,a2hQz000000UAtKIAW,Open LV Income Protection,a2YQz000000sESoMAM,LV_INCOME_PROTECTION,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_LV_INCOME_PROTECTION,Not required,
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,true,Not required,false,a2hQz000000UAtLIAW,Open LV Life & CIC,a2YQz000000sESpMAM,LV_LIFE_CIC,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_LV_LIFE_CIC,Not required,
Not required,Not required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,true,Not required,false,a2hQz000000UAtMIAW,Cancel Relevant Life Cover,a2YQz000000sESnMAM,LV_RELEVANT_LIFE,a24Qz0000052dx7IAA,CANCEL_PROTECTION,,CANCEL_RELEVANT_LIFE_COVER,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,true,Not required,false,a2hQz000000UAtNIAW,Cancel Family Income Benefit,a2YQz000000sESmMAM,LV_FIB,a24Qz0000052dx7IAA,CANCEL_PROTECTION,,CANCEL_FAMILY_INCOME_BENEFIT,Not required,
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,true,Not required,false,a2hQz000000UAtOIAW,Cancel Life Cover,a2YQz000000sESlMAM,LV_SINGLE_LIFE_COVER,a24Qz0000052dx7IAA,CANCEL_PROTECTION,,CANCEL_LIFE_COVER,Not required,
Not required,Not required,0121t0000001eUZAAY,0121t0000001eUZAAY,true,Not required,false,a2hQz000000UAtPIAW,Cancel Income Protection,a2YQz000000sESoMAM,LV_INCOME_PROTECTION,a24Qz0000052dx7IAA,CANCEL_PROTECTION,,CANCEL_INCOME_PROTECTION,Not required,
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,true,Not required,false,a2hQz000000UAtQIAW,Cancel Life & CIC,a2YQz000000sESpMAM,LV_LIFE_CIC,a24Qz0000052dx7IAA,CANCEL_PROTECTION,,CANCEL_LIFE_CIC,Not required,
Required,Not required,,,true,Not required,false,a2hQz000000UAtRIAW,Set up provider trust,,,a24Qz0000052dx8IAA,PROVIDER_TRUST,,PROVIDER_TRUST,Not required,
Not required,Required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,true,Not required,false,a2hQz000000UAtSIAW,Open AIG Relevant Life Cover,a2YQz000000sESsMAM,AIG_RELEVANT_LIFE,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_AIG_RELEVANT_LIFE_COVER,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,true,Not required,false,a2hQz000000UAtTIAW,Open AIG Family Income Benefit,a2YQz000000sESrMAM,AIG_FIB,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_AIG_FAMILY_INCOME_BENEFIT,Not required,
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,true,Not required,false,a2hQz000000UAtUIAW,Open AIG Life Cover,a2YQz000000sESqMAM,AIG_SINGLE_LIFE_COVER,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_AIG_LIFE_COVER,Not required,
Not required,Not required,0121t0000001eUZAAY,0121t0000001eUZAAY,true,Not required,false,a2hQz000000UAtVIAW,Open AIG Income Protection,a2YQz000000sEStMAM,AIG_INCOME_PROTECTION,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_AIG_INCOME_PROTECTION,Not required,
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,true,Not required,false,a2hQz000000UAtWIAW,Open AIG Life & CIC,a2YQz000000sESuMAM,AIG_LIFE_CIC,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_AIG_LIFE_CIC,Not required,
Not required,Not required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,true,Not required,false,a2hQz000000UAtXIAW,Cancel Relevant Life Cover,a2YQz000000sESsMAM,AIG_RELEVANT_LIFE,a24Qz0000052dx7IAA,CANCEL_PROTECTION,,CANCEL_RELEVANT_LIFE_COVER_AIG,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,true,Not required,false,a2hQz000000UAtYIAW,Cancel Family Income Benefit,a2YQz000000sESrMAM,AIG_FIB,a24Qz0000052dx7IAA,CANCEL_PROTECTION,,CANCEL_FAMILY_INCOME_BENEFIT_AIG,Not required,
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,true,Not required,false,a2hQz000000UAtZIAW,Cancel Life Cover,a2YQz000000sESqMAM,AIG_SINGLE_LIFE_COVER,a24Qz0000052dx7IAA,CANCEL_PROTECTION,,CANCEL_LIFE_COVER_AIG,Not required,
Not required,Not required,0121t0000001eUZAAY,0121t0000001eUZAAY,true,Not required,false,a2hQz000000UAtaIAG,Cancel Income Protection,a2YQz000000sEStMAM,AIG_INCOME_PROTECTION,a24Qz0000052dx7IAA,CANCEL_PROTECTION,,CANCEL_INCOME_PROTECTION_AIG,Not required,
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,true,Not required,false,a2hQz000000UAtbIAG,Cancel Life & CIC,a2YQz000000sESuMAM,AIG_LIFE_CIC,a24Qz0000052dx7IAA,CANCEL_PROTECTION,,CANCEL_LIFE_CIC_AIG,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,true,Not required,false,a2hQz000000UAtcIAG,Open Aviva Family Income Benefit,a2YQz000000sESwMAM,AVIVA_FIB,a24Qz0000052dwvIAA,OPEN_PRODUCT,,OPEN_AVIVA_FAMILY_INCOME_BENEFIT,Not required,
