DeveloperName__c,FulfilmentType__c,FulfilmentType__r.ReferenceName__c,FulfilmentTypeReference__c,Id,Name,NextStatus__c,ReferenceName__c,RelatedFlow__c,RelatedTaskInformation__c,Status__c,Tasks__c
REGULAR_WITHDRAWAL_ISA_SUBMIT_FULFILMENT,a2hQz000000UAsOIAW,REGULAR_WITHDRAWAL_ISA,,a2gQz000000tIghIAE,Submit fulfilment Regular withdrawal ISA,Chase provider,,FulfilmentScreenSubmitInflowFufilment,submit_regular_withdrawal,Submit fulfilment,Was the correct cash build up option selected?;Has the client been told the withdrawal has been instructed?
REGULAR_WITHDRAWAL_ISA_CHASE_PROVIDER,a2hQz000000UAsOIAW,REGULAR_WITHDRAWAL_ISA,,a2gQz000000tIgiIAE,Chase provider Regular withdrawal ISA,Await first regular,,FulfilmentScreenWithdrawal,chase_hubwise,Chase provider,Has the withdrawal been added to IO?
REGULAR_WITHDRAWAL_ISA_AWAIT_FIRST_REGULAR,a2hQz000000UAsOIAW,REGULAR_WITHDRAWAL_ISA,,a2gQz000000tIgjIAE,Await first regular Regular withdrawal ISA,Investment checks,,FulfilmentScreenFundsReceived,chase_regular_withdrawal,Await first regular,Has the client confirmed receipt?
REGULAR_WITHDRAWAL_ISA_INVESTMENT_CHECKS,a2hQz000000UAsOIAW,REGULAR_WITHDRAWAL_ISA,,a2gQz000000tIgkIAE,Investment checks Regular withdrawal ISA,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,"Is IO set up right, with the correct start date?"
REGULAR_WITHDRAWAL_GIA_SUBMIT_FULFILMENT,a2hQz000000UAsMIAW,REGULAR_WITHDRAWAL_GIA,,a2gQz000000tIglIAE,Submit fulfilment Regular withdrawal GIA,Chase provider,,FulfilmentScreenSubmitInflowFufilment,submit_regular_withdrawal,Submit fulfilment,Was the correct cash build up option selected?;Has the client been told the withdrawal has been instructed?
REGULAR_WITHDRAWAL_GIA_CHASE_PROVIDER,a2hQz000000UAsMIAW,REGULAR_WITHDRAWAL_GIA,,a2gQz000000tIgmIAE,Chase provider Regular withdrawal GIA,Await first regular,,FulfilmentScreenWithdrawal,chase_hubwise,Chase provider,Has the withdrawal been added to IO?
REGULAR_WITHDRAWAL_GIA_AWAIT_FIRST_REGULAR,a2hQz000000UAsMIAW,REGULAR_WITHDRAWAL_GIA,,a2gQz000000tIgnIAE,Await first regular Regular withdrawal GIA,Investment checks,,FulfilmentScreenFundsReceived,chase_regular_withdrawal,Await first regular,Has the client confirmed receipt?
REGULAR_WITHDRAWAL_GIA_INVESTMENT_CHECKS,a2hQz000000UAsMIAW,REGULAR_WITHDRAWAL_GIA,,a2gQz000000tIgoIAE,Investment checks Regular withdrawal GIA,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,"Is IO set up right, with the correct start date?"
EXTERNAL_TRANSFER_JUNIOR_ISA_AWAITING_AD_HOC_ACTION,a2hQz000000UArdIAG,EXTERNAL_TRANSFER_JUNIOR_ISA,,a2gQz000000tIgpIAE,Awaiting ad hoc action External transfer Junior ISA,,,FulfilmentScreenAdHocActionComplete,,Awaiting ad hoc action,"Have any documents been saved to the correct folder?;Has the action been completed?;Have we thanked the client for their action, if appropriate?"
INTERNAL_TRANSFER_ISA_CHASE_PROVIDER,a2hQz000000UArhIAG,INTERNAL_TRANSFER_ISA,,a2gQz000000tIgqIAE,Chase provider Internal transfer ISA,,,FulfilmentScreenFundsReceived,Chase_hubwise,Chase provider,Has the client been emailed with confirmation?;Have you added the contribution to IO (with a start date)?;Has the previous plan been updated in IO?
INTERNAL_TRANSFER_SIPP_CHASE_PROVIDER,a2hQz000000UArkIAG,INTERNAL_TRANSFER_SIPP,,a2gQz000000tIgrIAE,Chase provider Internal transfer SIPP,,,FulfilmentScreenFundsReceived,Chase_hubwise,Chase provider,Has the client been emailed with confirmation?;Have you added the contribution to IO (with a start date)?;Has the previous plan been updated in IO?
INTERNAL_TRANSFER_GIA_CHASE_PROVIDER,a2hQz000000UArgIAG,INTERNAL_TRANSFER_GIA,,a2gQz000000tIgsIAE,Chase provider Internal transfer GIA,,,FulfilmentScreenFundsReceived,Chase_hubwise,Chase provider,Has the client been emailed with confirmation?;Have you added the contribution to IO (with a start date)?;Has the previous plan been updated in IO?
INTERNAL_TRANSFER_JUNIOR_ISA_CHASE_PROVIDER,a2hQz000000UAriIAG,INTERNAL_TRANSFER_JUNIOR_ISA,,a2gQz000000tIgtIAE,Chase provider Internal transfer Junior ISA,,,FulfilmentScreenFundsReceived,Chase_hubwise,Chase provider,Has the client been emailed with confirmation?;Have you added the contribution to IO (with a start date)?;Has the previous plan been updated in IO?
INTERNAL_TRANSFER_JUNIOR_SIPP_CHASE_PROVIDER,a2hQz000000UArjIAG,INTERNAL_TRANSFER_JUNIOR_SIPP,,a2gQz000000tIguIAE,Chase provider Internal transfer Junior SIPP,,,FulfilmentScreenFundsReceived,Chase_hubwise,Chase provider,Has the client been emailed with confirmation?;Have you added the contribution to IO (with a start date)?;Has the previous plan been updated in IO?;Has the account been made visible to the child parents?
OPEN_PRODUCT_VCT_INVESTMENT_CHECKS,a2hQz000000UAsQIAW,OPEN_PRODUCT_VCT,,a2gQz000000tIgvIAE,Investment checks Open product VCT,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,Has the product been added to IO correctly?;Have the fees been applied correctly?
LUMP_SUM_KNOWLEDGE_INTENSIVE_EIS_SUBMIT_FULFILMENT,a2hQz000000UAsSIAW,LUMP_SUM_EIS,,a2gQz000000tIgwIAE,Submit fulfilment Lump sum Knowledge Intensive EIS,Chase client payment,,FulfilmentScreenSubmitInflowFufilment,submit_lump_sum_eis,Submit fulfilment,"Has the instruction been submitted on the OI portal?;If a Friends and Family discount is applicable, has OI been emailed to ensure this is in place?;Has the client been emailed payment details?;Have they been informed of any deadline related to an Early Bird discount?"
OPEN_PRODUCT_KNOWLEDGE_INTENSIVE_EIS_INVESTMENT_CHECKS,a2hQz000000UAsRIAW,OPEN_PRODUCT_EIS,,a2gQz000000tIgxIAE,Investment checks Open product Knowledge Intensive EIS,,,FulfilmentScreenInvestmentChecks,fulfilment_investment_checks,Investment checks,Has the product been added to IO correctly?;Have the fees been applied correctly?
OPEN_PRODUCT_VCT_SUBMIT_FULFILMENT,a2hQz000000UAsQIAW,OPEN_PRODUCT_VCT,,a2gQz000000tIgyIAE,Submit fulfilment Open product VCT,Complete,,FulfilmentProductOpened,input_plan_details,Submit fulfilment,Have you confirmed any relevant discounts have been applied?
OPEN_PRODUCT_KNOWLEDGE_INTENSIVE_EIS_SUBMIT_FULFILMENT,a2hQz000000UAsRIAW,OPEN_PRODUCT_EIS,,a2gQz000000tIgzIAE,Submit fulfilment Open product Knowledge Intensive EIS,Complete,,FulfilmentProductOpened,input_plan_details,Submit fulfilment,Have you confirmed any relevant discounts have been applied?
LUMP_SUM_KNOWLEDGE_INTENSIVE_EIS_CHASE_CLIENT_PAYMENT,a2hQz000000UAsSIAW,LUMP_SUM_EIS,,a2gQz000000tIh0IAE,Chase client payment Lump sum Knowledge Intensive EIS,Investment checks,,FulfilmentScreenFundsReceived,chase_client_payment,Chase client payment,Has the client been emailed with confirmation of receipt?;Confirm the plan has NOT yet been added to IO
