AdviceType__c,AdviceType__r.DeveloperName__c,DeveloperName__c,Id,Name,NextStatus__c,ServiceLevelAgreement__c,ServiceLevelAgreementApplies__c,Status__c,Task__c
a1RSl0000003AqwMAE,ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_COMPLETE,a1QSl000002vCI5MAM,Annual Review | Retirement | Complete,,,false,Complete,
a1RSl0000003AqwMAE,ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_DECLINED,a1QSl000002vCI6MAM,Annual Review | Retirement | Suitability Declined,,,false,Suitability declined,
a1RSl0000003AqwMAE,ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_CANCELLED,a1QSl000002vCI7MAM,Annual Review | Retirement | Cancelled,,,false,Cancelled,
a1RSl0000003AqwMAE,ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_DATA_ANALYSIS,a1QSl000002vCI8MAM,Annual Review | Retirement | Data analysis,Prepare advice,5,true,Data analysis,ADVICE_ANNUAL_REVIEW_DATA_GATHERING_CASE_SUMMARY
a1RSl000000IM0TMAW,TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_PRESENT,a1QSl00000380U9MAI,Onboarding | Trust | Present,Await decision,1,true,Present advice,
a1RSl000000IM0TMAW,TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_FULFILMENT,a1QSl00000380UAMAY,Onboarding | Trust | In Fulfilment,Complete,10,true,In fulfilment,
a1RSl000000IM0TMAW,TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_SET_UP,a1QSl00000380UBMAY,Onboarding | Trust | Set up,Prepare advice,1,true,Setup,ADVICE_TRUST_ONBOARDING_SET_UP
a1RSl000000IM0TMAW,TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_DATA_GATHERING,a1QSl00000380UCMAY,Onboarding | Trust | Data gathering,Data analysis,5,true,Data gathering,ADVICE_TRUST_ONBOARDING_FACT_FIND_SEND
a1RSl000000IM0TMAW,TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_PREPARE,a1QSl00000380UDMAY,Onboarding | Trust | Prepare,Present advice,5,true,Prepare advice,ADVICE_TRUST_ONBOARDING_ASSIGN
a1RSl000000IM0TMAW,TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_AWAIT_DECISION,a1QSl00000380UEMAY,Onboarding | Trust | Await Decision,In fulfilment,5,true,Await decision,
a1RSl000000IM0TMAW,TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_COMPLETE,a1QSl00000380UFMAY,Onboarding | Trust | Complete,,,false,Complete,
a1RSl000000IM0TMAW,TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_DECLINED,a1QSl00000380UGMAY,Onboarding | Trust | Suitability Declined,,,false,Suitability declined,
a1RSl000000IM0TMAW,TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_CANCELLED,a1QSl00000380UHMAY,Onboarding | Trust | Cancelled,,,false,Cancelled,
a1RSl000000IM0TMAW,TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_RISK_CALL,a1QSl00000380UIMAY,Onboarding | Trust | Risk call,Data analysis,5,true,Risk Call,ADVICE_TRUST_ONBOARDING_RISK_CALL
