DefaultAmount__c,DefaultOverrideable__c,Description__c,DeveloperName__c,Discountable__c,Duration__c,Format__c,Id,Maximum__c,Minimum__c,Name,NovaId__c,Product__c,Product__r.ReferenceName__c,ProductRecordType__c,RecommendationType__c,RecommendationType__r.ReferenceName__c,RevenueDueTo__c,RevenueDueTo__r.Name
,true,Commission paid to us as a result of this protection product,REF_34,false,One-off,Fixed amount,a2VQz000001pgJhMAI,100000000,0,Aviva Life & CIC Commission,,a2YQz000000sESzMAM,AVIVA_LIFE_&_CIC,,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_35,false,One-off,Fixed amount,a2VQz000001pgJiMAI,100000000,0,Royal London Relevant Life Commission,,a2YQz000000sET2MAM,ROYAL_LONDON_RELEVANT_LIFE_COVER,,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_36,false,One-off,Fixed amount,a2VQz000001pgJjMAI,100000000,0,Royal London FIB Commission,,a2YQz000000sET1MAM,ROYAL_LONDON_FIB,,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_37,false,One-off,Fixed amount,a2VQz000001pgJkMAI,100000000,0,Royal London Life Cover Commission,,a2YQz000000sET0MAM,ROYAL_LONDON_SINGLE_LIFE_COVER,,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_38,false,One-off,Fixed amount,a2VQz000001pgJlMAI,100000000,0,Royal London IP Commission,,a2YQz000000sET3MAM,ROYAL_LONDON_INCOME_PROTECTION,,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Commission paid to us as a result of this protection product,REF_39,false,One-off,Fixed amount,a2VQz000001pgJmMAI,100000000,0,Royal London Life & CIC Commission,,a2YQz000000sET4MAM,ROYAL_LONDON_LIFE_&_CIC,,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,false,,MORTGAGE_PROCUREMENT,false,One-off,Fixed amount,a2VQz000001pgJnMAI,10000000000000,0,Mortgage procurement fee,,,,,,,,
,false,The comission paid to us as a result of this product,EXETER_LIFE_COMISSION,false,One-off,Fixed amount,a2VQz000001pgJoMAI,100000000,0,The Exeter Life Comission,,a2YQz000000sET6MAM,THE_EXETER_LIFE,0121t0000001eUvAAI,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,false,,EXETER_IP_COMISSION,false,One-off,Fixed amount,a2VQz000001pgJpMAI,100000000,0,The Exeter IP Comission,,a2YQz000000sET5MAM,THE_EXETER_IP,0121t0000001eUZAAY,a24Qz0000052dwvIAA,OPEN_PRODUCT,a26Qz000000MlQVIA0,NOVA Wealth
,true,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_GIA,false,One-off,Fixed amount,a2VQz000001pgJqMAI,10000,0,Investment related transfer fee,,a2YQz000000sESfMAM,GIA_HUBWISE,0121t0000001ePeA,a24Qz0000052dwtIAA,LUMP_SUM,a26Qz000000MlQVIA0,NOVA Wealth
,true,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_ISA,false,One-off,Fixed amount,a2VQz000001pgJrMAI,10000,0,Investment related transfer fee,,a2YQz000000sESdMAM,SSISA_HUBWISE,0121t0000001eNHA,a24Qz0000052dwtIAA,LUMP_SUM,a26Qz000000MlQVIA0,NOVA Wealth
,true,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_JISA,false,One-off,Fixed amount,a2VQz000001pgJsMAI,10000,0,Investment related transfer fee,,a2YQz000000sESeMAM,JISA_HUBWISE,0121t0000001l9AA,a24Qz0000052dwtIAA,LUMP_SUM,a26Qz000000MlQVIA0,NOVA Wealth
,true,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_JSIPP,false,One-off,Fixed amount,a2VQz000001pgJtMAI,10000,0,Investment related transfer fee,,a2YQz000000sESbMAM,JSIPP_HUBWISE,0124J000000d1BjQ,a24Qz0000052dwtIAA,LUMP_SUM,a26Qz000000MlQVIA0,NOVA Wealth
,true,Fee applies when we are making an investment to a NOVA product as a result of a closing of an external investment that we've reviewed. This fee type should not be used for application of our advice setup fee.,INVESTMENT_TRANSFER_SIPP,false,One-off,Fixed amount,a2VQz000001pgJuMAI,10000,0,Investment related transfer fee,,a2YQz000000sEScMAM,SIPP_HUBWISE,0121t0000001eRHAAY,a24Qz0000052dwtIAA,LUMP_SUM,a26Qz000000MlQVIA0,NOVA Wealth
