DeveloperName__c,FulfilmentType__c,FulfilmentTypeReference__c,Id,Name,NextStatus__c,ReferenceName__c,RelatedFlow__c,RelatedTaskInformation__c,Status__c,Tasks__c
LUMP_SUM_JUNIOR_SIPP_CHASE_CLIENT_PAYMENT,LUMP_SUM_JUNIOR_SIPP,,LUMP_SUM_JUNIOR_SIPP_CHASE_CLIENT_PAYMENT,Chase client payment Lump sum Junior SIPP,,,FulfilmentScreenFundsReceived,chase_client_payment,Chase client payment,"Has the client been emailed with confirmation?;Have you added the contribution to IO with a start date?;If the amount wasn't as expected, has hubwise been emailed?;Has the account been made visible to the childs parents?"
LUMP_SUM_SIPP_CHASE_CLIENT_PAYMENT,LUMP_SUM_SIPP,,LUMP_SUM_SIPP_CHASE_CLIENT_PAYMENT,Chase client payment Lump sum SIPP,,,FulfilmentScreenFundsReceived,chase_client_payment,Chase client payment,"Has the client been emailed with confirmation?;Have you added the contribution to IO with a start date?;If the amount wasn't as expected, has hubwise been emailed?"
EXTERNAL_TRANSFER_GIA_CHASE_TRANSFER,EXTERNAL_TRANSFER_GIA,,EXTERNAL_TRANSFER_GIA_CHASE_TRANSFER,Chase transfer External transfer GIA,,,FulfilmentScreenFundsReceived,chase_transfer,Chase transfer,Has the client been emailed to confirm?;Has the transfer been added to IO?;Has the previous plan been updated in IO?;Have you confirmed the value of the ceding pension is now correct?
EXTERNAL_TRANSFER_ISA_CHASE_TRANSFER,EXTERNAL_TRANSFER_ISA,,EXTERNAL_TRANSFER_ISA_CHASE_TRANSFER,Chase transfer External transfer ISA,,,FulfilmentScreenFundsReceived,chase_transfer,Chase transfer,Has the client been emailed to confirm?;Has the transfer been added to IO?;Has the previous plan been updated in IO?;Have you confirmed the value of the ceding pension is now correct?
EXTERNAL_TRANSFER_JUNIOR_ISA_CHASE_TRANSFER,EXTERNAL_TRANSFER_JUNIOR_ISA,,EXTERNAL_TRANSFER_JUNIOR_ISA_CHASE_TRANSFER,Chase transfer External transfer Junior ISA,,,FulfilmentScreenFundsReceived,chase_transfer,Chase transfer,Has the client been emailed to confirm?;Has the transfer been added to IO?;Has the previous plan been updated in IO?;Have you confirmed the value of the ceding pension is now correct?;Has the account been made visible to the child parents?
EXTERNAL_TRANSFER_JUNIOR_SIPP_CHASE_TRANSFER,EXTERNAL_TRANSFER_JUNIOR_SIPP,,EXTERNAL_TRANSFER_JUNIOR_SIPP_CHASE_TRANSFER,Chase transfer External transfer Junior SIPP,,,FulfilmentScreenFundsReceived,chase_transfer,Chase transfer,Has the transfer been added to IO?;Has the previous plan been updated in IO?;Have you confirmed the value of the ceding pension is now correct?;Has the account been made visible to the child parents?
EXTERNAL_TRANSFER_SIPP_CHASE_TRANSFER,EXTERNAL_TRANSFER_SIPP,,EXTERNAL_TRANSFER_SIPP_CHASE_TRANSFER,Chase transfer External transfer SIPP,,,FulfilmentScreenFundsReceived,chase_transfer,Chase transfer,Has the transfer been added to IO?;Has the previous plan been updated in IO?;Have you confirmed the value of the ceding pension is now correct?
INTERNAL_TRANSFER_GIA_CHASE_TRANSFER,INTERNAL_TRANSFER_GIA,,INTERNAL_TRANSFER_GIA_CHASE_TRANSFER,Chase transfer Internal transfer GIA,,,FulfilmentScreenFundsReceived,Chase_hubwise,Chase transfer,Has the client been emailed with confirmation?;Have you added the contribution to IO (with a start date)?;Has the previous plan been updated in IO?
INTERNAL_TRANSFER_ISA_CHASE_TRANSFER,INTERNAL_TRANSFER_ISA,,INTERNAL_TRANSFER_ISA_CHASE_TRANSFER,Chase transfer Internal transfer ISA,,,FulfilmentScreenFundsReceived,Chase_hubwise,Chase transfer,Has the client been emailed with confirmation?;Have you added the contribution to IO (with a start date)?;Has the previous plan been updated in IO?
INTERNAL_TRANSFER_JUNIOR_ISA_CHASE_TRANSFER,INTERNAL_TRANSFER_JUNIOR_ISA,,INTERNAL_TRANSFER_JUNIOR_ISA_CHASE_TRANSFER,Chase transfer Internal transfer Junior ISA,,,FulfilmentScreenFundsReceived,Chase_hubwise,Chase transfer,Has the client been emailed with confirmation?;Have you added the contribution to IO (with a start date)?;Has the previous plan been updated in IO?;Has the account been made visible to the child parents?
