AdviceType__c,DeveloperName__c,Id,Name,NextStatus__c,ServiceLevelAgreement__c,ServiceLevelAgreementApplies__c,Status__c,Task__c
ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_COMPLETE,ADVICE_ANNUAL_REVIEW_RETIREMENT_COMPLETE,Annual Review | Retirement | Complete,,,False,Complete,
ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_DECLINED,ADVICE_ANNUAL_REVIEW_RETIREMENT_DECLINED,Annual Review | Retirement | Suitability Declined,,,False,Suitability declined,
ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_CANCELLED,ADVICE_ANNUAL_REVIEW_RETIREMENT_CANCELLED,Annual Review | Retirement | Cancelled,,,False,Cancelled,
ANNUAL_REVIEW_RETIREMENT,ADVICE_ANNUAL_REVIEW_RETIREMENT_DATA_ANALYSIS,ADVICE_ANNUAL_REVIEW_RETIREMENT_DATA_ANALYSIS,Annual Review | Retirement | Data analysis,Prepare advice,5,True,Data analysis,ADVICE_ANNUAL_REVIEW_DATA_GATHERING_CASE_SUMMARY
TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_PRESENT,ADVICE_TRUST_ONBOARDING_PRESENT,Onboarding | Trust | Present,Await decision,1,True,Present advice,
TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_FULFILMENT,ADVICE_TRUST_ONBOARDING_FULFILMENT,Onboarding | Trust | In Fulfilment,Complete,10,True,In fulfilment,
TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_SET_UP,ADVICE_TRUST_ONBOARDING_SET_UP,Onboarding | Trust | Set up,Prepare advice,1,True,Setup,ADVICE_TRUST_ONBOARDING_SET_UP
TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_DATA_GATHERING,ADVICE_TRUST_ONBOARDING_DATA_GATHERING,Onboarding | Trust | Data gathering,Data analysis,5,True,Data gathering,ADVICE_TRUST_ONBOARDING_FACT_FIND_SEND
TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_PREPARE,ADVICE_TRUST_ONBOARDING_PREPARE,Onboarding | Trust | Prepare,Present advice,5,True,Prepare advice,ADVICE_TRUST_ONBOARDING_ASSIGN
TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_AWAIT_DECISION,ADVICE_TRUST_ONBOARDING_AWAIT_DECISION,Onboarding | Trust | Await Decision,In fulfilment,5,True,Await decision,
TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_COMPLETE,ADVICE_TRUST_ONBOARDING_COMPLETE,Onboarding | Trust | Complete,,,False,Complete,
TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_DECLINED,ADVICE_TRUST_ONBOARDING_DECLINED,Onboarding | Trust | Suitability Declined,,,False,Suitability declined,
TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_CANCELLED,ADVICE_TRUST_ONBOARDING_CANCELLED,Onboarding | Trust | Cancelled,,,False,Cancelled,
TRUST_ONBOARDING,ADVICE_TRUST_ONBOARDING_RISK_CALL,ADVICE_TRUST_ONBOARDING_RISK_CALL,Onboarding | Trust | Risk call,Data analysis,5,True,Risk Call,ADVICE_TRUST_ONBOARDING_RISK_CALL
