AdditionalAmlRequirement__c,AdditionalBankDetails__c,DestinationProductRecordType__c,DestinationProductType__c,ExcludeFromUpdate__c,ExpressionOfWishFormRequirement__c,FormsRequired__c,Id,Name,Product__c,RecommendationType__c,ReferenceName__c,TransferFormsRequirement__c,UpdateEmailHeadline__c
Required,Not required,,,TRUE,Not required,FALSE,PROVIDER_TRUST,Set up provider trust,,PROVIDER_TRUST,PROVIDER_TRUST,Not required,
Not required,Required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,TRUE,Not required,FALSE,OPEN_AIG_RELEVANT_LIFE_COVER,Open AIG Relevant Life Cover,AIG_RELEVANT_LIFE,OPEN_PRODUCT,OPEN_AIG_RELEVANT_LIFE_COVER,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,TRUE,Not required,FALSE,OPEN_AIG_FAMILY_INCOME_BENEFIT,Open AIG Family Income Benefit,AIG_FIB,OPEN_PRODUCT,OPEN_AIG_FAMILY_INCOME_BENEFIT,Not required,
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,TRUE,Not required,FALSE,OPEN_AIG_LIFE_COVER,Open AIG Life Cover,AIG_SINGLE_LIFE_COVER,OPEN_PRODUCT,OPEN_AIG_LIFE_COVER,Not required,
Not required,Not required,0121t0000001eUZAAY,0121t0000001eUZAAY,TRUE,Not required,FALSE,OPEN_AIG_INCOME_PROTECTION,Open AIG Income Protection,AIG_INCOME_PROTECTION,OPEN_PRODUCT,OPEN_AIG_INCOME_PROTECTION,Not required,
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,TRUE,Not required,FALSE,OPEN_AIG_LIFE_CIC,Open AIG Life & CIC,AIG_LIFE_CIC,OPEN_PRODUCT,OPEN_AIG_LIFE_CIC,Not required,
Not required,Not required,012Sl0000003lgjIAA,012Sl0000003lgjIAA,TRUE,Not required,FALSE,CANCEL_RELEVANT_LIFE_COVER_AIG,Cancel Relevant Life Cover,AIG_RELEVANT_LIFE,CANCEL_EXISTING_PROTECTION,CANCEL_RELEVANT_LIFE_COVER_AIG,Not required,
Not required,Not required,0124J000000cvmJQAQ,0124J000000cvmJQAQ,TRUE,Not required,FALSE,CANCEL_FAMILY_INCOME_BENEFIT_AIG,Cancel Family Income Benefit,AIG_FIB,CANCEL_EXISTING_PROTECTION,CANCEL_FAMILY_INCOME_BENEFIT_AIG,Not required,
Not required,Not required,0121t0000001eUvAAI,0121t0000001eUvAAI,TRUE,Not required,FALSE,CANCEL_LIFE_COVER_AIG,Cancel Life Cover,AIG_SINGLE_LIFE_COVER,CANCEL_EXISTING_PROTECTION,CANCEL_LIFE_COVER_AIG,Not required,
Not required,Not required,0121t0000001eUZAAY,0121t0000001eUZAAY,TRUE,Not required,FALSE,CANCEL_INCOME_PROTECTION_AIG,Cancel Income Protection,AIG_INCOME_PROTECTION,CANCEL_EXISTING_PROTECTION,CANCEL_INCOME_PROTECTION_AIG,Not required,
Not required,Not required,0121t0000001eU7AAI,0121t0000001eU7AAI,TRUE,Not required,FALSE,CANCEL_LIFE_CIC_AIG,Cancel Life & CIC,AIG_LIFE_CIC,CANCEL_EXISTING_PROTECTION,CANCEL_LIFE_CIC_AIG,Not required,
