DeveloperName__c,Id,Name,NovaId__c,OW_group_company__c,OW_own_company__c,PartnerCompany__c,ProtectionPartner__c,ReferenceName__c
NATWEST_RBS,NATWEST_RBS,Natwest (RBS),a264J000001QEXVQA4,False,False,False,False,
NEST,NEST,NEST,a264J000001QEXWQA4,False,False,False,False,
NEWAGE_CUMMINS,NEWAGE_CUMMINS,Newage Cummins,a264J000001QEXXQA4,False,False,False,False,
NHS,NHS,NHS,a264J000001QEXYQA4,False,False,False,False,
NOWPENSIONS,NOWPENSIONS,NOW:Pensions,a264J000001QEXZQA4,False,False,False,False,
NUTMEG,NUTMEG,Nutmeg,a264J000001QEXbQAO,False,False,False,False,
OCTOPUS_CASH,OCTOPUS_CASH,Octopus Cash,a264J000001QEXcQAO,False,False,False,False,
OCTOPUS_CHOICE,OCTOPUS_CHOICE,Octopus Choice,a264J000001QEXdQAO,False,False,False,False,
OCTOPUS_INVESTMENTS,OCTOPUS_INVESTMENTS,Octopus Investments,a264J000001QEXeQAO,True,False,True,False,OI
NOVA,NOVA,NOVA Wealth,a264J000001QEXfQAO,False,True,False,False,NOVA
OLD_MUTUAL_ISLE_OF_MAN,OLD_MUTUAL_ISLE_OF_MAN,Old Mutual (Isle of Man),a264J000001QEXgQAO,False,False,False,False,
OLD_MUTUAL_WEALTH,OLD_MUTUAL_WEALTH,Old Mutual Wealth,a264J000001QEXhQAO,False,False,False,False,
OMI,OMI,OMI,a264J000001QEXiQAO,False,False,False,False,
ONEFAMILY,ONEFAMILY,OneFamily,a264J000001QEXjQAO,False,False,False,False,
PARAGON,PARAGON,Paragon,a264J000001QEXkQAO,False,False,False,False,
PARMENION_CAPITAL_PARTNERS,PARMENION_CAPITAL_PARTNERS,Parmenion Capital Partners,a264J000001QEXlQAO,False,False,False,False,
PATRONUS_PARTNERS,PATRONUS_PARTNERS,Patronus Partners,a264J000001QEXmQAO,False,False,False,False,
PENINSULA_PENSIONS,PENINSULA_PENSIONS,Peninsula Pensions,a264J000001QEXnQAO,False,False,False,False,
PENSIONBEE,PENSIONBEE,PensionBee,a264J000001QEXoQAO,False,False,False,False,
PEOPLES_PENSION,PEOPLES_PENSION,Peoples Pension,a264J000001QEXpQAO,False,False,False,False,
PHOENIX_LIFE,PHOENIX_LIFE,Phoenix Life,a264J000001QEXqQAO,False,False,False,False,
PHOENIX_WEALTH,PHOENIX_WEALTH,Phoenix Wealth,a264J000001QEXrQAO,False,False,False,False,
POST_OFFICE_MONEY,POST_OFFICE_MONEY,Post Office Money,a264J000001QEXsQAO,False,False,False,False,
PREMIER_VEOLIA_GROUP,PREMIER_VEOLIA_GROUP,Premier (Veolia Group),a264J000001QEXtQAO,False,False,False,False,
PREVILABOR,PREVILABOR,Previlabor,a264J000001QEXuQAO,False,False,False,False,
PRINCIPALITY,PRINCIPALITY,Principality,a264J000001QEXvQAO,False,False,False,False,
PROCTOR__GAMBLE_PENSION_FUND_CAPITA,PROCTOR__GAMBLE_PENSION_FUND_CAPITA,Proctor & Gamble Pension Fund (Capita),a264J000001QEXwQAO,False,False,False,False,
PRUDENTIAL,PRUDENTIAL,Prudential,a264J000001QEXxQAO,False,False,False,False,
RAILWAYS,RAILWAYS,Railways,a264J000001QEXyQAO,False,False,False,False,
RATHBONES,RATHBONES,Rathbones,a264J000001QEXzQAO,False,False,False,False,
RBC_CEES,RBC_CEES,RBC Cees,a264J000001QEY0QAO,False,False,False,False,
RBS_LEGAL__GENERAL,RBS_LEGAL__GENERAL,RBS (Legal & General),a264J000001QEY1QAO,False,False,False,False,
RBS_WILLIS_TOWERS_WATSON,RBS_WILLIS_TOWERS_WATSON,RBS (Willis Towers Watson),a264J000001QEY2QAO,False,False,False,False,
RBS_CHILD_TRUST_FUNDS,RBS_CHILD_TRUST_FUNDS,RBS Child Trust Funds,a264J000001QEY3QAO,False,False,False,False,
RBS_COLLECTIVE_FUND,RBS_COLLECTIVE_FUND,RBS Collective Fund,a264J000001QEY4QAO,False,False,False,False,
REASSURE,REASSURE,ReAssure,a264J000001QEY5QAO,False,False,False,False,
REDMAYNE_BENTLEY,REDMAYNE_BENTLEY,Redmayne Bentley,a264J000001QEY6QAO,False,False,False,False,
RL360,RL360,RL360,a264J000001QEY7QAO,False,False,True,False,RL360
ROLLSROYCE,ROLLSROYCE,Rolls-Royce,a264J000001QEY8QAO,False,False,False,False,
ROTHESAY_LIFE,ROTHESAY_LIFE,Rothesay Life,a264J000001QEY9QAO,False,False,False,False,
ROTHSCHILD__CO,ROTHSCHILD__CO,Rothschild & Co,a264J000001QEYAQA4,False,False,False,False,
ROWANMOOR,ROWANMOOR,Rowanmoor,a264J000001QEYBQA4,False,False,False,False,
ROYAL_LONDON,ROYAL_LONDON,Royal London,a264J000001QEYCQA4,False,False,False,True,RL
RPMI,RPMI,RPMI,a264J000001QEYDQA4,False,False,False,False,
RUFFER,RUFFER,Ruffer,a264J000001QEYEQA4,False,False,False,False,
SANLAM,SANLAM,Sanlam,a264J000001QEYFQA4,False,False,False,False,
SANTANDER,SANTANDER,Santander,a264J000001QEYGQA4,False,False,False,False,
SCOTTISH_FRIENDLY_SUNLIFE,SCOTTISH_FRIENDLY_SUNLIFE,Scottish Friendly (SunLife),a264J000001QEYHQA4,False,False,False,False,
SCOTTISH_PROVIDENT,SCOTTISH_PROVIDENT,Scottish Provident,a264J000001QEYIQA4,False,False,False,False,
SCOTTISH_WIDOWS,SCOTTISH_WIDOWS,Scottish Widows,a264J000001QEYJQA4,False,False,False,False,
SCOTTISH_WIDOWS_UNIT_TRUST_MANAGERS,SCOTTISH_WIDOWS_UNIT_TRUST_MANAGERS,Scottish Widows Unit Trust Managers,a264J000001QEYKQA4,False,False,False,False,
